Title,Description,Views,Likes
The Dark Reality of World's Fattest Country | Case Study | Dhruv Rathee,"The most obese country in the world might surprise you – it's not America, but a small island nation in the Pacific Ocean called Nauru. Despite living in a region where people traditionally consume coconuts, fruits, and fish and lead physically active lives, Nauru has an alarmingly high obesity rate. Watch this video by Dhruv Rathee to find out, as he explains the underlying cause behind this: crony capitalism.

Learn how to manage time, battle procrastination in my specialised online course. 
Join here:  https://academy.dhruvrathee.com

Use coupon code “FIT50” to receive a 50% discount on the course! This offer applies only to the first 500 purchases.

Links to the videos mentioned:
How Singapore became Asia’s No.1 Country? | Case Study | Dhruv Rathee -  https://youtu.be/NoxkNvz6Dqo
Dark Reality of Cold Drinks | Dhruv Rathee - https://youtu.be/ILIDPSItmK4
---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://academy.dhruvrathee.com

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvrathee
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",2793372,145552
Why Hitler Lost? | World War 2 | Dhruv Rathee,"In the last part of our World War II series, we saw how America wanted to stay away from Europe's issues and how much of an upper hand Hitler had at that time. But how did the tables turn? How was Britain able to defeat Germany? What led to Hitler's loss? How did all this end? Watch this video to find out in this second and final part of the World War II Series by Dhruv Rathee.

KukuFM Download Link - https://kukufm.sng.link/Apksi/1ocn/9n2s

Coupon code - DHRUV50
Special offer - Get 50% off on KukuFM’s 1st month subscription at INR 49

कूकू एफ एम द्वारा प्रायोजित वीडियो
This video is sponsored by KuKufm

Links to the videos mentioned :

Why World War 2 Happened? | The Real Reason | Dhruv Rathee - https://youtu.be/crH7kpjomIk

Hiroshima and Nagasaki | Why USA destroyed Japan? | WW2 | Dhruv Rathee - https://youtu.be/mX3ZWEG9lyw

--------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://academy.dhruvrathee.com

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvrathee
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",3314998,167680
The Truth of Pulwama | Satyapal Malik Allegations | Dhruv Rathee,"Satyapal Malik, a senior politician and ex-governor has made some sensational claims about Prime Minister Narendra Modi. Out of all the things, there are three that have shocked everyone. While one is related to the Pulwama incident, the other two are related to the Kashmir issue and corruption. But what exactly are his claims? What did he point out about Pulwama? What are his thoughts on the alleged Modi-Adani scandal? And what is the BJP's response to all these allegations? Watch this video by Dhruv Rathee to find out!

---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://academy.dhruvrathee.com

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvrathee
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",5896099,328429
Why World War 2 Happened? | The Real Reason | Dhruv Rathee,"World War II was a significant event in world history that involved more than 30 countries. The conflict started when Nazi Germany, led by Adolf Hitler, invaded Poland in 1939. This aggression prompted Great Britain and France to declare war on Germany. But what actually happened during the War? Which countries were taking part in it? Watch this video with Dhruv Rathee to find out as he explains in detail the events of World War 2.

KukuFM Download Link - https://kukufm.sng.link/Apksi/1ocn/9n2s

Coupon code - DHRUV50
Special offer - Get 50% off on KukuFM’s 1st month subscription at INR 49

कूकू एफ एम द्वारा प्रायोजित वीडियो
This video is sponsored by KuKufm

Links to the mentioned videos: 
How Hitler Brainwashed Millions of People? | Rise of Adolf Hitler | Dhruv Rathee - https://youtu.be/laisVDBJ204
---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://academy.dhruvrathee.com

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvrathee
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",4141493,198121
Why was Donald Trump Arrested? | Full Case Explained | Dhruv Rathee,"Former US President Donald Trump was recently arrested, marking the first time in US history that a former president surrendered to law enforcement. While facing 34 charges, Trump was primarily arrested for making a hush payment to adult actress Stormy Daniels. But what does this mean for his future? Will he spend the rest of his life in jail? Will he be unable to run for election next year? And are these allegations even true? Watch this video by Dhruv Rathee to learn everything about this incident.

Create learning circles at your company with Kuku for Business. Business owners and team managers can access the Google Form link here: https://forms.gle/KqGiydLWYyamc4tz5, while employees can access it here: https://forms.gle/R9x1p45CoiKNSPct8. Take advantage of our special offer - the first 100 companies to fill out this form will receive a two-month free trial.

Link to the videos mentioned - 
USA Elections 2020 | Explained by Dhruv Rathee - https://youtu.be/QBolIeBynMQ
---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://academy.dhruvrathee.com

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvrathee
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",3296577,131908
Israel Crisis 2023 | Largest Protests in History | Explained by Dhruv Rathee,"Israel, under the leadership of Prime Minister Benjamin Netanyahu, is facing a huge political crisis and the largest protest movement in its history. This all started when the ruling party proposed some amendments, referred to as a ""judicial overhaul,"" where the justice minister suggested that the Supreme Court should be subordinate to the government and elected officials. What exactly are these amendments? Why were they proposed? What are the arguments for and against the proposal? What is the current scenario? To find out, watch this video by Dhruv Rathee.

links to the videos mentioned -
Turkey's Hagia Sophia and Erdogan | Dhruv Rathee -  https://youtu.be/NXVxDtvXZO8
---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://academy.dhruvrathee.com

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvrathee
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",3662419,158732
Is Amritpal Singh Right? | Khalistan Movement | Dhruv Rathee,"The Khalistan movement has allegedly started again under the leadership of Amritpal Singh, a self-styled preacher and leader of the organization Waris Punjab De. The situation has become so tense that the Punjab Police has started a manhunt for Amritpal. But how did this Khalistani propaganda begin? Is it justified? Watch this video to find out as Dhruv Rathee delves deep into the history of Khalistan to explain the story that led to all this chaos.

KukuFM Download Link - https://kukufm.sng.link/Apksi/1ocn/9n2s

Coupon code - DHRUV50
Special offer - Get 50% off on KukuFM’s 1st month subscription at INR 49

कूकू एफ एम द्वारा प्रायोजित वीडियो
This video is sponsored by KuKufm

---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://academy.dhruvrathee.com

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvrathee
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",3989874,207973
Rahul Gandhi Disqualified! | Full Case Explained | Dhruv Rathee,"A few months ago, Rahul Gandhi made a statement during a speech that got him into serious trouble. The consequences were so severe that he was sentenced to jail, disqualified from contesting elections for the next six years, and his status as a Member of Parliament was revoked. Despite making bail, this incident raises some critical questions. What exactly did he say? Was it genuinely derogatory? Furthermore, was the entire process lawful, or was it the beginning of the 2024 Elections Drama? To get answers to these questions, watch this video by Dhruv Rathee.

KukuFM Download Link - https://kukufm.sng.link/Apksi/1ocn/9n2s

Coupon code - DHRUV50
Special offer - Get 50% off on KukuFM’s 1st month subscription at INR 49

कूकू एफ एम द्वारा प्रायोजित वीडियो
This video is sponsored by KuKufm

---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://academy.dhruvrathee.com

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvrathee
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",5523464,300414
Mystery of Dinosaurs |  How Did They Become Extinct? | Dhruv Rathee,"Dinosaurs ruled the earth for more than 170 million years. By comparision humans have only been around for half a million years. Yet one day they became extinct. Was it an asteroid attack or something else? Get the answer to all these questions in this super-interesting video by Dhruv Rathee.

Download Audicate Now & Listen to Audio books for CBSE, NCERT, UPSC, NEET, IITJEE, SSC, EPFO in Just ₹199/ - http://lnkiy.in/Audicate

You can check out my vlog here -
Inside the Mysterious Mayan City! - https://youtu.be/Oe_Nyj_4luM
---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://academy.dhruvrathee.com

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvrathee
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------c",4789463,253964
Formula 1 Racing | How the World's Most Dangerous Sport Works? | Dhruv Rathee,"Feed your hunger to build a successful career in Data Science with SCALER, India’s Top Tech Learning Company. Check out: 
https://www.scaler.com/?utm_source=brandedcontent&utm_medium=DhruvRatheeMar23Brandlaunch&utm_campaign=brand_scaler_academy_brandedcontent_DhruvRatheeMar23Brandlaunch_branded-content-video-campaign-DhruvRatheeMar23Brandlaunch-21Mar2023_india_all&utm_content=YT-description 

The Formula One (F1) racing industry has become a thriving $1.5 billion industry, despite the inherent danger involved. Interestingly, India had a brief stint in the sport in the past. Are you familiar with the workings of F1 racing? Do you know the rules, the types of cars involved, and who the top racers are? How did this high-speed sport achieve such global fame? Furthermore, why did India leave the sport? If you don't, watch this F1 Racing Crash Course by none other than Dhruv Rathee!

Link to the mentioned video: 

Mystery of Supersonic Airplane | Concorde Plane Crash | Dhruv Rathee - https://youtu.be/y7zrjWp3fEk
---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://academy.dhruvrathee.com

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvrathee
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------

0:00 Introduction 
1:16  Tracing the History
3:08 Rules of the Race 
7:14  Safety of Drivers 
10:20 Business Model of F1
13:56 India's Role in F1
17:28 Criticisms of the Sport",3054196,140246
