,Title,Description,Views,Likes
0,"[[0.33333333 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333
  0.33333333 0.33333333 0.33333333]]","[[0.02941176 0.02941176 0.02941176 0.05882353 0.02941176 0.05882353
  0.02941176 0.02941176 0.02941176 0.02941176 0.11764706 0.02941176
  0.02941176 0.05882353 0.02941176 0.02941176 0.05882353 0.02941176
  0.02941176 0.02941176 0.02941176 0.02941176 0.11764706 0.02941176
  0.02941176 0.02941176 0.5        0.02941176 0.05882353 0.02941176
  0.11764706 0.02941176 0.05882353 0.02941176 0.02941176 0.02941176
  0.14705882 0.02941176 0.14705882 0.02941176 0.02941176 0.02941176
  0.02941176 0.02941176 0.02941176 0.02941176 0.02941176 0.02941176
  0.02941176 0.02941176 0.02941176 0.02941176 0.02941176 0.02941176
  0.02941176 0.02941176 0.02941176 0.02941176 0.02941176 0.02941176
  0.02941176 0.11764706 0.47058824 0.02941176 0.02941176 0.02941176
  0.02941176 0.02941176 0.02941176 0.02941176 0.02941176 0.02941176
  0.02941176 0.02941176 0.02941176 0.05882353 0.02941176 0.02941176
  0.02941176 0.08823529 0.02941176 0.08823529 0.02941176 0.20588235
  0.02941176 0.02941176 0.02941176 0.02941176 0.02941176 0.05882353
  0.02941176 0.02941176 0.02941176 0.02941176 0.05882353 0.02941176
  0.02941176 0.02941176 0.02941176 0.02941176 0.05882353 0.02941176
  0.02941176 0.02941176 0.20588235 0.02941176 0.20588235 0.05882353
  0.05882353 0.02941176 0.02941176 0.14705882 0.02941176 0.02941176
  0.02941176 0.02941176 0.02941176 0.02941176 0.02941176 0.05882353
  0.02941176 0.02941176 0.02941176 0.02941176 0.02941176 0.02941176
  0.02941176 0.02941176 0.05882353 0.02941176 0.02941176 0.05882353
  0.02941176 0.02941176 0.02941176 0.05882353 0.02941176 0.02941176
  0.02941176 0.02941176 0.02941176 0.02941176 0.02941176 0.14705882
  0.05882353 0.29411765 0.02941176]]",2698124,142749
1,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],"[[0.0298275  0.0298275  0.0298275  0.0298275  0.0298275  0.0298275
  0.0298275  0.0298275  0.059655   0.0298275  0.0298275  0.0298275
  0.0298275  0.11931    0.0298275  0.059655   0.0298275  0.0298275
  0.0298275  0.0298275  0.0298275  0.11931    0.0298275  0.47723999
  0.0298275  0.059655   0.0298275  0.059655   0.0298275  0.0298275
  0.0298275  0.1491375  0.0298275  0.0298275  0.11931    0.0298275
  0.0298275  0.059655   0.059655   0.0298275  0.0298275  0.0298275
  0.0298275  0.0298275  0.0298275  0.0298275  0.0298275  0.0298275
  0.0298275  0.0298275  0.0298275  0.0298275  0.0298275  0.0298275
  0.0298275  0.0298275  0.0298275  0.059655   0.0298275  0.11931
  0.47723999 0.0298275  0.0298275  0.0298275  0.0298275  0.0298275
  0.0298275  0.0298275  0.0298275  0.0298275  0.059655   0.0298275
  0.0298275  0.0298275  0.059655   0.0298275  0.0298275  0.0298275
  0.0298275  0.059655   0.11931    0.059655   0.0298275  0.059655
  0.0298275  0.2087925  0.0298275  0.0298275  0.0298275  0.0298275
  0.0298275  0.0298275  0.0298275  0.0298275  0.0298275  0.0298275
  0.0298275  0.0298275  0.0298275  0.2087925  0.0298275  0.2087925
  0.059655   0.0298275  0.1491375  0.0298275  0.0298275  0.0298275
  0.0298275  0.0298275  0.059655   0.0298275  0.0298275  0.0298275
  0.0298275  0.0298275  0.0298275  0.0298275  0.0298275  0.0298275
  0.0298275  0.0298275  0.0298275  0.0298275  0.0298275  0.059655
  0.0298275  0.0298275  0.059655   0.0298275  0.0298275  0.0298275
  0.0894825  0.0298275  0.0298275  0.0298275  0.0298275  0.0894825
  0.0298275  0.0298275  0.0298275  0.0894825  0.0298275  0.1491375
  0.059655   0.29827499 0.0298275  0.0298275  0.0298275 ]]",3292969,167205
2,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]","[[0.03286204 0.03286204 0.03286204 0.06572408 0.03286204 0.03286204
  0.03286204 0.03286204 0.13144816 0.03286204 0.06572408 0.03286204
  0.03286204 0.03286204 0.03286204 0.13144816 0.06572408 0.52579262
  0.03286204 0.06572408 0.06572408 0.03286204 0.09858612 0.03286204
  0.13144816 0.03286204 0.03286204 0.03286204 0.03286204 0.03286204
  0.03286204 0.03286204 0.03286204 0.03286204 0.03286204 0.03286204
  0.03286204 0.03286204 0.03286204 0.03286204 0.03286204 0.03286204
  0.03286204 0.03286204 0.13144816 0.42720651 0.03286204 0.03286204
  0.03286204 0.03286204 0.03286204 0.03286204 0.03286204 0.03286204
  0.03286204 0.03286204 0.03286204 0.03286204 0.06572408 0.03286204
  0.03286204 0.03286204 0.06572408 0.03286204 0.06572408 0.23003427
  0.03286204 0.03286204 0.03286204 0.03286204 0.03286204 0.03286204
  0.03286204 0.06572408 0.03286204 0.03286204 0.03286204 0.23003427
  0.03286204 0.23003427 0.06572408 0.03286204 0.03286204 0.03286204
  0.03286204 0.06572408 0.09858612 0.06572408 0.03286204 0.03286204
  0.03286204 0.03286204 0.03286204 0.03286204 0.03286204 0.03286204
  0.03286204 0.03286204 0.03286204 0.03286204 0.03286204 0.03286204
  0.03286204 0.03286204 0.03286204 0.03286204 0.03286204 0.06572408
  0.03286204 0.06572408 0.03286204 0.03286204 0.03286204 0.03286204
  0.03286204 0.16431019 0.32862039 0.03286204]]",5875483,327723
3,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]","[[0.03041495 0.03041495 0.03041495 0.03041495 0.03041495 0.03041495
  0.03041495 0.03041495 0.03041495 0.03041495 0.06082991 0.06082991
  0.03041495 0.03041495 0.03041495 0.03041495 0.12165981 0.03041495
  0.06082991 0.03041495 0.03041495 0.03041495 0.03041495 0.03041495
  0.12165981 0.03041495 0.48663925 0.03041495 0.06082991 0.03041495
  0.06082991 0.06082991 0.03041495 0.03041495 0.12165981 0.03041495
  0.03041495 0.12165981 0.03041495 0.03041495 0.06082991 0.03041495
  0.03041495 0.03041495 0.03041495 0.03041495 0.03041495 0.03041495
  0.03041495 0.03041495 0.03041495 0.03041495 0.03041495 0.06082991
  0.03041495 0.03041495 0.03041495 0.03041495 0.06082991 0.09124486
  0.03041495 0.12165981 0.4562243  0.03041495 0.03041495 0.03041495
  0.03041495 0.03041495 0.03041495 0.03041495 0.03041495 0.03041495
  0.03041495 0.03041495 0.03041495 0.03041495 0.06082991 0.03041495
  0.03041495 0.03041495 0.03041495 0.06082991 0.12165981 0.03041495
  0.06082991 0.03041495 0.06082991 0.03041495 0.21290467 0.03041495
  0.03041495 0.03041495 0.03041495 0.03041495 0.03041495 0.03041495
  0.03041495 0.03041495 0.03041495 0.03041495 0.03041495 0.03041495
  0.21290467 0.03041495 0.21290467 0.06082991 0.03041495 0.03041495
  0.03041495 0.12165981 0.03041495 0.03041495 0.03041495 0.03041495
  0.03041495 0.03041495 0.03041495 0.03041495 0.03041495 0.03041495
  0.03041495 0.03041495 0.03041495 0.03041495 0.03041495 0.03041495
  0.03041495 0.03041495 0.03041495 0.06082991 0.03041495 0.09124486
  0.03041495 0.03041495 0.03041495 0.12165981 0.03041495 0.03041495
  0.03041495 0.09124486 0.15207477 0.03041495 0.30414953 0.03041495
  0.03041495 0.03041495]]",4132736,197915
4,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]","[[0.0302337  0.0302337  0.0302337  0.0302337  0.0302337  0.06046741
  0.0302337  0.0302337  0.0302337  0.06046741 0.0302337  0.0302337
  0.0302337  0.12093481 0.0302337  0.06046741 0.06046741 0.0302337
  0.0302337  0.0302337  0.06046741 0.12093481 0.0302337  0.0302337
  0.48373924 0.0302337  0.0302337  0.06046741 0.0302337  0.06046741
  0.0302337  0.0302337  0.12093481 0.0302337  0.12093481 0.0302337
  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337
  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337
  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337  0.06046741
  0.06046741 0.0302337  0.0302337  0.0302337  0.0302337  0.06046741
  0.06046741 0.06046741 0.0302337  0.12093481 0.48373924 0.0302337
  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337
  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337
  0.06046741 0.0302337  0.0302337  0.0302337  0.06046741 0.0302337
  0.0302337  0.0302337  0.09070111 0.0302337  0.0302337  0.06046741
  0.21163592 0.0302337  0.0302337  0.0302337  0.0302337  0.0302337
  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337
  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337  0.21163592
  0.0302337  0.21163592 0.06046741 0.06046741 0.0302337  0.0302337
  0.0302337  0.0302337  0.12093481 0.0302337  0.0302337  0.0302337
  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337
  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337  0.0302337
  0.0302337  0.0302337  0.0302337  0.06046741 0.0302337  0.0302337
  0.0302337  0.06046741 0.06046741 0.0302337  0.0302337  0.0302337
  0.06046741 0.0302337  0.0302337  0.0302337  0.0302337  0.0302337
  0.0302337  0.15116851 0.0302337  0.0302337  0.30233703 0.0302337 ]]",3295082,131868
5,"[[0.33333333 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333
  0.33333333 0.33333333 0.33333333]]","[[0.03187884 0.03187884 0.06375767 0.03187884 0.06375767 0.03187884
  0.12751534 0.03187884 0.06375767 0.03187884 0.03187884 0.03187884
  0.03187884 0.03187884 0.12751534 0.51006137 0.06375767 0.03187884
  0.03187884 0.09563651 0.03187884 0.12751534 0.03187884 0.12751534
  0.03187884 0.03187884 0.03187884 0.03187884 0.03187884 0.03187884
  0.03187884 0.03187884 0.03187884 0.03187884 0.03187884 0.03187884
  0.03187884 0.03187884 0.03187884 0.03187884 0.03187884 0.03187884
  0.03187884 0.06375767 0.03187884 0.12751534 0.4463037  0.03187884
  0.03187884 0.03187884 0.03187884 0.03187884 0.03187884 0.03187884
  0.03187884 0.03187884 0.03187884 0.03187884 0.03187884 0.06375767
  0.03187884 0.03187884 0.03187884 0.06375767 0.03187884 0.03187884
  0.03187884 0.03187884 0.06375767 0.03187884 0.22315185 0.03187884
  0.03187884 0.03187884 0.03187884 0.03187884 0.03187884 0.06375767
  0.03187884 0.03187884 0.03187884 0.03187884 0.03187884 0.03187884
  0.03187884 0.03187884 0.22315185 0.03187884 0.22315185 0.06375767
  0.03187884 0.03187884 0.03187884 0.03187884 0.06375767 0.03187884
  0.12751534 0.03187884 0.03187884 0.03187884 0.03187884 0.03187884
  0.03187884 0.03187884 0.03187884 0.03187884 0.03187884 0.03187884
  0.03187884 0.03187884 0.03187884 0.03187884 0.03187884 0.03187884
  0.03187884 0.03187884 0.03187884 0.06375767 0.03187884 0.06375767
  0.03187884 0.03187884 0.03187884 0.03187884 0.03187884 0.03187884
  0.15939418 0.03187884 0.31878836 0.03187884]]",3660649,158684
6,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]","[[0.03160698 0.03160698 0.03160698 0.03160698 0.03160698 0.03160698
  0.03160698 0.06321395 0.03160698 0.03160698 0.06321395 0.03160698
  0.03160698 0.12642791 0.03160698 0.06321395 0.03160698 0.03160698
  0.03160698 0.03160698 0.12642791 0.03160698 0.03160698 0.50571163
  0.03160698 0.06321395 0.06321395 0.03160698 0.03160698 0.03160698
  0.09482093 0.03160698 0.03160698 0.12642791 0.03160698 0.03160698
  0.03160698 0.06321395 0.03160698 0.03160698 0.03160698 0.03160698
  0.03160698 0.03160698 0.03160698 0.03160698 0.03160698 0.03160698
  0.03160698 0.06321395 0.03160698 0.12642791 0.44249768 0.03160698
  0.03160698 0.03160698 0.03160698 0.03160698 0.03160698 0.03160698
  0.03160698 0.03160698 0.03160698 0.03160698 0.03160698 0.06321395
  0.03160698 0.03160698 0.06321395 0.03160698 0.06321395 0.03160698
  0.12642791 0.03160698 0.03160698 0.06321395 0.03160698 0.06321395
  0.22124884 0.03160698 0.03160698 0.03160698 0.03160698 0.03160698
  0.03160698 0.03160698 0.03160698 0.03160698 0.03160698 0.03160698
  0.03160698 0.22124884 0.03160698 0.22124884 0.06321395 0.03160698
  0.03160698 0.03160698 0.03160698 0.06321395 0.09482093 0.03160698
  0.03160698 0.03160698 0.03160698 0.03160698 0.03160698 0.03160698
  0.03160698 0.03160698 0.03160698 0.03160698 0.06321395 0.03160698
  0.03160698 0.03160698 0.03160698 0.03160698 0.03160698 0.03160698
  0.03160698 0.03160698 0.03160698 0.06321395 0.03160698 0.09482093
  0.03160698 0.03160698 0.03160698 0.03160698 0.03160698 0.03160698
  0.15803489 0.31606977 0.03160698 0.03160698 0.03160698]]",3987899,207922
7,"[[0.37796447 0.37796447 0.37796447 0.37796447 0.37796447 0.37796447
  0.37796447]]","[[0.03157545 0.03157545 0.03157545 0.03157545 0.03157545 0.03157545
  0.03157545 0.03157545 0.0631509  0.03157545 0.03157545 0.03157545
  0.03157545 0.03157545 0.1263018  0.03157545 0.0631509  0.03157545
  0.03157545 0.03157545 0.03157545 0.03157545 0.1263018  0.03157545
  0.50520718 0.03157545 0.03157545 0.03157545 0.0631509  0.03157545
  0.0631509  0.03157545 0.03157545 0.03157545 0.09472635 0.03157545
  0.03157545 0.1263018  0.03157545 0.03157545 0.03157545 0.03157545
  0.0631509  0.03157545 0.03157545 0.03157545 0.0631509  0.03157545
  0.03157545 0.03157545 0.03157545 0.03157545 0.03157545 0.03157545
  0.03157545 0.03157545 0.03157545 0.03157545 0.03157545 0.03157545
  0.03157545 0.03157545 0.03157545 0.1263018  0.44205628 0.03157545
  0.03157545 0.03157545 0.03157545 0.03157545 0.03157545 0.03157545
  0.03157545 0.03157545 0.03157545 0.03157545 0.03157545 0.03157545
  0.0631509  0.03157545 0.03157545 0.03157545 0.0631509  0.1263018
  0.03157545 0.0631509  0.0631509  0.22102814 0.03157545 0.03157545
  0.03157545 0.03157545 0.03157545 0.03157545 0.03157545 0.03157545
  0.03157545 0.03157545 0.03157545 0.03157545 0.03157545 0.22102814
  0.03157545 0.22102814 0.0631509  0.03157545 0.03157545 0.0631509
  0.03157545 0.03157545 0.09472635 0.03157545 0.03157545 0.03157545
  0.03157545 0.03157545 0.03157545 0.03157545 0.03157545 0.03157545
  0.03157545 0.03157545 0.03157545 0.03157545 0.03157545 0.03157545
  0.03157545 0.03157545 0.03157545 0.03157545 0.03157545 0.03157545
  0.03157545 0.03157545 0.0631509  0.03157545 0.09472635 0.03157545
  0.03157545 0.03157545 0.03157545 0.03157545 0.15787724 0.03157545
  0.31575449 0.03157545 0.03157545 0.03157545]]",5521990,300365
8,[[0.40824829 0.40824829 0.40824829 0.40824829 0.40824829 0.40824829]],"[[0.03204207 0.03204207 0.03204207 0.03204207 0.06408413 0.03204207
  0.03204207 0.03204207 0.12816827 0.03204207 0.06408413 0.03204207
  0.03204207 0.03204207 0.06408413 0.03204207 0.03204207 0.03204207
  0.03204207 0.03204207 0.12816827 0.03204207 0.03204207 0.51267307
  0.03204207 0.06408413 0.06408413 0.03204207 0.03204207 0.0961262
  0.03204207 0.12816827 0.03204207 0.03204207 0.03204207 0.06408413
  0.03204207 0.03204207 0.03204207 0.03204207 0.03204207 0.03204207
  0.03204207 0.03204207 0.03204207 0.03204207 0.03204207 0.03204207
  0.03204207 0.03204207 0.03204207 0.03204207 0.16021033 0.44858894
  0.03204207 0.03204207 0.03204207 0.03204207 0.03204207 0.03204207
  0.03204207 0.03204207 0.03204207 0.03204207 0.03204207 0.03204207
  0.03204207 0.03204207 0.06408413 0.03204207 0.03204207 0.03204207
  0.06408413 0.03204207 0.06408413 0.22429447 0.06408413 0.03204207
  0.03204207 0.03204207 0.03204207 0.03204207 0.03204207 0.06408413
  0.03204207 0.03204207 0.03204207 0.03204207 0.03204207 0.03204207
  0.22429447 0.03204207 0.22429447 0.06408413 0.03204207 0.03204207
  0.0961262  0.03204207 0.03204207 0.03204207 0.03204207 0.03204207
  0.03204207 0.03204207 0.03204207 0.03204207 0.03204207 0.03204207
  0.03204207 0.03204207 0.03204207 0.06408413 0.03204207 0.03204207
  0.06408413 0.06408413 0.03204207 0.03204207 0.03204207 0.16021033
  0.06408413 0.03204207 0.32042067 0.03204207]]",4786416,253896
9,"[[0.35355339 0.35355339 0.35355339 0.35355339 0.35355339 0.35355339
  0.35355339 0.35355339]]","[[0.02897638 0.02897638 0.02897638 0.02897638 0.02897638 0.02897638
  0.02897638 0.02897638 0.02897638 0.02897638 0.02897638 0.02897638
  0.02897638 0.02897638 0.05795276 0.02897638 0.02897638 0.02897638
  0.11590552 0.02897638 0.05795276 0.02897638 0.02897638 0.02897638
  0.02897638 0.02897638 0.02897638 0.02897638 0.02897638 0.02897638
  0.02897638 0.02897638 0.02897638 0.11590552 0.02897638 0.49259845
  0.02897638 0.02897638 0.02897638 0.08692914 0.05795276 0.02897638
  0.05795276 0.02897638 0.02897638 0.02897638 0.02897638 0.02897638
  0.11590552 0.02897638 0.11590552 0.02897638 0.05795276 0.02897638
  0.05795276 0.02897638 0.02897638 0.02897638 0.02897638 0.02897638
  0.02897638 0.02897638 0.1448819  0.02897638 0.02897638 0.02897638
  0.02897638 0.02897638 0.02897638 0.02897638 0.02897638 0.02897638
  0.02897638 0.02897638 0.02897638 0.02897638 0.05795276 0.02897638
  0.11590552 0.43464569 0.02897638 0.02897638 0.02897638 0.02897638
  0.02897638 0.02897638 0.02897638 0.02897638 0.02897638 0.02897638
  0.1448819  0.02897638 0.05795276 0.02897638 0.05795276 0.02897638
  0.02897638 0.02897638 0.05795276 0.02897638 0.05795276 0.02897638
  0.05795276 0.02897638 0.02897638 0.02897638 0.20283466 0.02897638
  0.02897638 0.02897638 0.02897638 0.02897638 0.02897638 0.02897638
  0.05795276 0.02897638 0.02897638 0.20283466 0.02897638 0.02897638
  0.20283466 0.05795276 0.02897638 0.02897638 0.02897638 0.08692914
  0.11590552 0.02897638 0.05795276 0.02897638 0.05795276 0.05795276
  0.02897638 0.02897638 0.02897638 0.11590552 0.02897638 0.02897638
  0.02897638 0.02897638 0.02897638 0.02897638 0.02897638 0.02897638
  0.02897638 0.02897638 0.02897638 0.02897638 0.02897638 0.02897638
  0.05795276 0.02897638 0.02897638 0.02897638 0.02897638 0.02897638
  0.02897638 0.08692914 0.02897638 0.02897638 0.02897638 0.02897638
  0.02897638 0.02897638 0.17385828 0.02897638 0.02897638 0.28976379
  0.02897638 0.02897638]]",3053482,140231
